id,type,name,content,image,attachment,category,sub_categories,industries,geo_reach,price_range,availability_status,certification,launch_date,market_performance,customer_satisfaction_rate,innovation_level,key_features,competitors,market_demand,technological_requirements,environmental_impact,user_feedback,sales_volume,support_level,scalability,compliance_status,brand_reputation,promotion_channels,future_plans,strategic_partners,business_goals,cost_reduction_priorities,evaluation_process,performance_indicators,funding_source,proposal_submission_process
Pro00010,Capability,Vang-Bryant,"Job set official discuss. Use above first.
Resource far beautiful sell. Hospital sport worker the nation car question.
From fine onto relate. Strong significant identify employee present.",,,Cultivation,Genetics and Breeding,"[""Outpatient Care Centers"", ""Wood Products"", ""Glass, Ceramics and Concrete Manufacturing""]","[""Saint Vincent and the Grenadines"", ""Tokelau""]",$1000-$5000,Available,CISA (Certified Information Systems Auditor),2022-01-08,High,High,Low,"[""Advanced Technology"", ""High Performance"", ""Environmentally Friendly""]","[""Planet 13 Holdings"", ""TerrAscend"", ""MariMed""]",Low,"[""Specific Industry Experience"", ""Backup and Recovery Systems""]",High,"Bar ok court spring. Southern early outside away. Type amount model environmental receive soldier. Statement office enough score.
Up cup who system.",High,High,High,Non-Compliant,High,"[""Influencer Marketing""]","Thought create owner degree cup visit. Blue at exactly bed above stand. Air receive final their.
Once cause interview. Likely office approach she public.","[""Research Manager"", ""Vendor Manager""]","[""Execute a Successful Sale Strategy""]","[""Use Cost-Effective Green Certifications"", ""Conduct In-House Employee Training Workshops""]","[""Pilot Testing"", ""Customer References and Testimonials""]","[""Process Improvement"", ""Stakeholder Satisfaction"", ""Training and Development Hours""]","[""Convertible Debt"", ""Bonds""]","[""Form Submission on Company Website"", ""Submission through a Procurement System (e.g., SAP Ariba)"", ""Through an Intermediary or Agent""]"
Serv00011,Capability,"Roberts, Hines and Little",Between reality charge wear everything bed. Arrive purpose available someone. Together radio small yet.,,,Processing,Labeling,"[""Mining"", ""Office Furniture and Fixtures Manufacturing""]","[""Israel"", ""Afghanistan"", ""New Zealand"", ""Trinidad and Tobago""]",<1000,Available,Google Analytics Individual Qualification (GAIQ),2021-12-04,High,Low,Low,"[""Scalable"", ""Cloud-Based"", ""Flexible""]","[""Aurora Cannabis"", ""MariMed"", ""Valens GroWorks""]",Medium,"[""Web Application"", ""DevOps Tools"", ""Cybersecurity Knowledge""]",Low,Message against family price commercial candidate. Skin himself everybody generation although happy read international. Design knowledge would blue.,High,High,Medium,Compliant,High,"[""Product Fairs"", ""Television Advertising"", ""Educational Series""]",Pay dream newspaper act score operation. Employee perhaps city sure magazine. Receive work both sit recently even attorney.,"[""VP of Engineering""]","[""Invest in Advanced Technologies"", ""Develop Proprietary Technology Solutions""]","[""Focus on Key Intellectual Property Protection""]","[""Peer Review""]","[""Defect Rate""]","[""Government Grants"", ""Bank Loans"", ""Convertible Debt""]","[""Email Submission"", ""Online Tendering System (e.g., TenderLink)""]"
Pro00012,Capability,Shaw Group,Teach offer responsibility cause even interview. As you professional institution. Be clearly political specific commercial mouth.,,,Accessories,Apparel,"[""Healthcare Plans"", ""Water, Sewage and Waste Management"", ""Aluminum""]","[""Spain"", ""Pakistan"", ""Madagascar"", ""Comoros""]",<1000,Unavailable,Demographic Analyst,2023-03-24,Low,Low,Low,"[""Comprehensive Support"", ""Scalable"", ""User-Friendly""]","[""Cronos Group""]",Medium,"[""Experience Leading Teams""]",High,Out big go writer many word. Enter mother third thus into growth deep. Spring there area first perhaps factor.,Medium,High,Low,Non-Compliant,Medium,"[""Sponsorships"", ""Annual Reports""]","Shake time kind chair talk. Face relate occur dark stand machine.
Decade I sport evidence.","[""Supplier Relationship Manager""]","[""Develop Cutting-Edge Technologies"", ""Enhance Cybersecurity Measures""]","[""Simplify Travel Visas and Documentation""]","[""Negotiation Phase"", ""Due Diligence Process"", ""Risk Assessment""]","[""Customer Acquisition Rate""]","[""Leasing"", ""Donations"", ""Series B Funding""]","[""Form Submission on Company Website""]"
Serv00013,Capability,"Carr, Blackwell and Roberts","We near fact practice. Loss few hand kitchen onto. Question reveal investment understand next actually.
Capital perform although stand marriage their dream adult. Continue risk cell.",,,Cultivation,Hydroponics,"[""Investment Banking"", ""Water Treatment"", ""Newspapers""]","[""South Georgia"", ""Anguilla"", ""Poland"", ""Papua New Guinea"", ""Bhutan""]",$1000-$5000,Unavailable,Inventory Manager,2024-01-23,Medium,High,High,"[""Low Risk"", ""Compact Design"", ""Fast Delivery""]","[""Cannabix Technologies"", ""Cronos Group"", ""The Supreme Cannabis Company""]",Low,"[""Willingness to Travel"", ""Desktop Application"", ""Experience with Client Presentations"", ""Programming Languages"", ""Local Candidates Only""]",Medium,"Check what lay standard single. Top moment six country sing a. Real candidate real hold.
Why line too parent painting service. Course business example simple detail so.",Low,High,Low,Compliant,Low,"[""Radio Advertising"", ""In-Person Workshops"", ""Social Media Takeovers""]",Dream near study music success visit end rock. Case nor include attention natural suggest.,"[""Director of IT""]","[""Capture 20% Market Share""]","[""Streamline Sponsorship Activation Costs"", ""Focus on Essential Quality Control"", ""Reduce Inventory Purchases""]","[""Legal and Compliance Check""]","[""Social Responsibility Initiatives"", ""Return on Investment (ROI)"", ""Employee Turnover Rate""]","[""Bank Loans""]","[""Submission via Industry-Specific Platform (e.g., BidSync, GovWin)"", ""Submission via Partner Organization""]"
Pro00014,Capability,"Allen, Turner and Davis",Conference effect eat reality clearly star. Know health skin social mean child dream. Budget part light five our build.,,,Education,Industry Reports,"[""Online Media""]","[""Libya"", ""Guinea-Bissau""]",<1000,Unavailable,Water Management Specialist,2023-09-25,High,Medium,High,"[""Certified"", ""Easy Integration""]","[""OrganiGram Holdings"", ""The Supreme Cannabis Company"", ""Tweed""]",Low,"[""Quantum Computing"", ""Data Encryption"", ""Language Proficiency"", ""Immediate Availability""]",Low,"Word yet pass actually. There present church have owner forget service like.
Door minute ask even result chance. Something group wear beat book my chair whole.",Medium,Medium,High,Compliant,Medium,"[""Co-Branding Initiatives"", ""Twitter"", ""Postcards""]",Compare writer big. Manager seat someone discover type interview under. National full moment light second able. State writer summer right stand present.,"[""Safety Manager"", ""SEO Manager""]","[""Prepare for Public Listing"", ""Become an Industry Thought Leader"", ""Ensure 100% Regulatory Compliance""]","[""Lower Search Engine Marketing (SEM) Spend""]","[""Customer References and Testimonials"", ""Technical Review""]","[""System Performance and Speed"", ""Research and Development (R&D) Spending"", ""Process Improvement""]","[""Endowments"", ""Peer-to-Peer Lending"", ""Angel Investors""]","[""Online Tendering System (e.g., TenderLink)"", ""Direct Submission to Project Manager"", ""Physical Mail Submission""]"
Serv00015,Capability,"Stuart, Zhang and Gomez","Media college believe service produce degree. Effect unit necessary plan action.
Be message yet free police. Admit may gas difference. Own worry protect top notice.",,,Cultivation,Indoor Growing,"[""Solar Electric Power Generation"", ""Space Research and Technology""]","[""Bolivia"", ""Nigeria"", ""Gambia The"", ""Bhutan"", ""British Indian Ocean Territory""]",$5000-$10000,Limited,Health Professional,2023-06-10,High,High,Low,"[""Durable"", ""Easy Integration"", ""Low Maintenance""]","[""MariMed"", ""Aleafia Health""]",Low,"[""Flexible Availability"", ""Desktop Application"", ""Big Data Analytics"", ""Security Clearance Level 3"", ""Technical Certifications""]",High,Husband somebody magazine back. Challenge tell wide consider money charge pass. Seek pay safe hold wonder might teach.,Low,Low,Low,Non-Compliant,Low,"[""Virtual Events""]",Group service including oil.,"[""Safety Coordinator"", ""Director of Engineering""]","[""Expand Partnership Ecosystem"", ""Automate Key Production Processes""]","[""Optimize Seminar and Workshop Participation"", ""Limit Networking Mixers"", ""Streamline Product Launch Events""]","[""Internal Review Committee"", ""Comparative Analysis""]","[""Carbon Footprint"", ""Employee Productivity"", ""Product Quality""]","[""Crowdfunding"", ""Corporate Sponsorships"", ""Convertible Debt""]","[""Online Application Portal"", ""Submission via Industry-Specific Platform (e.g., BidSync, GovWin)""]"
Pro00016,Capability,"Herrera, Newman and Young",On east adult maintain discussion easy change. Weight government kitchen. Cold road form eat society focus despite.,,,Accessories,Apparel,"[""Nursing Homes and Residential Care Facilities"", ""Credit Intermediation""]","[""Bulgaria"", ""Gambia The"", ""Cameroon"", ""Pakistan"", ""Congo""]",>$50000,Limited,Scrum Master Certification,2023-10-25,High,Low,Low,"[""High Performance""]","[""TerrAscend"", ""Liberty Health Sciences""]",Medium,"[""Occasional Travel"", ""Cloud Storage"", ""Communication Skills""]",Medium,"Opportunity until brother truth. By note positive available. Interest key still air already yes.
All land believe act probably. I to baby follow drop quality learn.",Medium,Medium,Low,Non-Compliant,Medium,"[""Partnerships"", ""LinkedIn"", ""Blog""]",Manage budget someone clearly tend card bed machine. Pattern visit issue who. Through decision their in TV. They affect cultural wind agent market hair nation.,"[""VP of Customer Service""]","[""Implement Industry 4.0 Practices"", ""Prepare for Public Listing""]","[""Optimize Treasury Services"", ""Use Open Source CRM and ERP Systems"", ""Streamline Prototyping and Testing""]","[""Request for Information (RFI)""]","[""Customer Retention Rate""]","[""Seed Funding"", ""Family Offices"", ""Equity Financing""]","[""Submission via Industry-Specific Platform (e.g., BidSync, GovWin)""]"
Serv00017,Capability,"Gill, Hansen and Robertson","What article seek explain large. Conference really bar industry gas new fact.
Loss everyone back go chair. Leg but unit.
Race discussion discussion build dog form. Entire general table.",,,Marketing,Branding,"[""Video Post-Production""]","[""Russia"", ""Denmark"", ""Puerto Rico""]",$0,Unavailable,Operations Manager,2022-01-28,High,High,Medium,"[""Multi-Language Support""]","[""The Flowr Corporation"", ""Aleafia Health"", ""CannTrust Holdings""]",Medium,"[""Experience with Cloud Services"", ""Artificial Intelligence"", ""Machinery Operation"", ""Heavy Equipment""]",Medium,"Hit spring about allow perhaps hot white yeah. Interesting project concern either until movie.
Treat need ask physical affect leave glass. Movie challenge stay enough.",Medium,Low,High,Non-Compliant,Medium,"[""Online Courses"", ""Co-Branding Initiatives""]",Whose however street community professional agency computer. Democrat it western network.,"[""Talent Acquisition Manager"", ""Trademark Attorney"", ""R&D Manager""]","[""Invest in Advanced Technologies""]","[""Reduce Social Media Advertising Budget"", ""Prioritize Key R&D Projects""]","[""Vendor Demonstrations""]","[""System Uptime"", ""Product Quality"", ""System Performance and Speed""]","[""Angel Investors""]","[""Fax Submission"", ""Via Professional Networking Site (e.g., LinkedIn)""]"
Pro00018,Capability,Gonzalez PLC,"Quite five wait study expect. Organization two decision.
Image director sound pick knowledge owner data still.",,,Accessories,Consumption Devices,"[""Specialty Chemicals"", ""Environmental Quality Programs"", ""Retail Trade""]","[""Spain"", ""The Bahamas"", ""Nicaragua"", ""Hungary""]",<1000,Unavailable,SHRM-CP (SHRM Certified Professional),2022-12-30,Low,Medium,Medium,"[""Easy Integration"", ""High Performance"", ""Environmentally Friendly""]","[""Trulieve Cannabis"", ""Harvest One Cannabis"", ""Charlotte's Web Holdings""]",Low,"[""Ability to Lift a Certain Weight"", ""Communication Skills"", ""Available within 1 Month"", ""Specific Equipment Operation""]",Low,"Threat decide involve citizen his film skin. Power five consider responsibility always.
Lot section family staff stop. Impact society couple lawyer rule.",Medium,High,Medium,Compliant,Medium,"[""Co-Branding Initiatives"", ""White Papers and eBooks""]","Image such guy account save. Bit bill what picture. Show trip program.
Give do member than establish. Particularly determine society spring six. Card window miss small head Mrs.","[""Project Manager"", ""Logistics Manager""]","[""Achieve Certifications and Accreditations"", ""Significantly Increase Community Engagement""]","[""Optimize Carbon Offset Programs""]","[""Due Diligence Process"", ""Financial Review"", ""Consensus Decision Making""]","[""Customer Retention Rate"", ""Energy Consumption""]","[""Leasing"", ""Peer-to-Peer Lending"", ""Bonds""]","[""Fax Submission"", ""Submission through a Procurement System (e.g., SAP Ariba)"", ""Submission via Collaborative Platform (e.g., Slack, Microsoft Teams)""]"
Serv00019,Capability,Martinez Group,He despite vote reality all remember minute. Former their tell network small letter. Building land consider compare seat. Whatever drug who west.,,,Compliance,Auditing,"[""Server and Storage Software Products""]","[""Gambia The"", ""Tajikistan""]",>$50000,Available,Certified Information Privacy Professional (CIPP),2023-03-22,Medium,Medium,Medium,"[""Secure""]","[""CannTrust Holdings"", ""Aurora Cannabis"", ""Rubicon Organics""]",Medium,"[""Associate's Degree"", ""French"", ""Certifications"", ""Cybersecurity Measures"", ""Cross-Platform Compatibility""]",Medium,Long yourself black company side. Present campaign possible eye mission letter. Tough image American.,Medium,Low,Low,Non-Compliant,High,"[""Journalist Outreach""]",Best audience daughter north sort director could. Then according best your simple yourself analysis.,"[""Benefits Manager"", ""Trademark Attorney"", ""Recruitment Manager""]","[""Double Revenue"", ""Double Customer Base"", ""Achieve High Brand Equity""]","[""Reevaluate Business Insurance Needs"", ""Optimize Seminar and Workshop Participation"", ""Use Cost-Effective Green Certifications""]","[""Multi-Stage Evaluation"", ""Stakeholder Consultation"", ""Comparative Analysis""]","[""Employee Satisfaction"", ""Productivity Increase""]","[""Convertible Debt"", ""Series C Funding"", ""Research Grants""]","[""Form Submission on Company Website"", ""Submission via Collaborative Platform (e.g., Slack, Microsoft Teams)"", ""Submission through a Trade Association or Chamber of Commerce""]"
Pro00020,Capability,Jones Inc,Color process weight again represent avoid. Medical art thank ever truth seven. Sometimes say set century employee one.,,,Marketing,Public Relations,"[""Oil, Gas and Mining"", ""Security and Commodity Brokerage""]","[""Ethiopia"", ""Norway"", ""Maldives"", ""Gabon"", ""Virgin Islands (US)""]",<1000,Available,Certified Digital Marketing Professional (CDMP),2021-07-24,Medium,Medium,Medium,"[""Reliable""]","[""1933 Industries"", ""Acreage Holdings""]",Low,"[""Edge Computing""]",High,Door account service law civil magazine away. Red force deal.,Low,Low,Low,Compliant,Low,"[""Video Ads"", ""Industry Journals"", ""Event Sponsorships""]","Future your analysis end central. Entire better north break respond somebody account. Have thank firm plan.
Down everything exactly every. Much deal design newspaper deep quite.","[""UX/UI Manager"", ""Safety Manager""]","[""Develop Proprietary Technology Solutions""]","[""Use In-House Compliance Audits"", ""Reduce Transaction Costs""]","[""Vendor Demonstrations""]","[""Defect Rate""]","[""Leasing""]","[""Submission through a Trade Association or Chamber of Commerce"", ""Submission via Industry-Specific Platform (e.g., BidSync, GovWin)""]"
Serv00021,Capability,Preston-Wilson,"Last power memory science reality several. Begin ground though nor response.
Above successful southern strong. Economy understand I tax send sea though various.",,,Retail,Dispensaries,"[""Sound Recording Industries"", ""Wholesale Office Equipment"", ""NGOs""]","[""Niue"", ""Australia"", ""United States Minor Outlying Islands"", ""Cayman Islands""]",$0,Unavailable,PMP (Project Management Professional),2021-08-11,Medium,Medium,High,"[""Durable"", ""Customizable""]","[""Rubicon Organics"", ""Harvest Health & Recreation""]",Medium,"[""Software Proficiency""]",Medium,"Risk detail course special defense operation. Stand board recent time between. Score material class somebody eat serve beat.
Into wrong store case choice mission issue. Upon either system it.",Medium,High,High,Non-Compliant,High,"[""Press Conferences"", ""Workshops"", ""Community Events""]","Really region military those development black.
Hot outside everything floor myself foreign address station. Act white huge. Operation issue officer sort people.","[""CMO"", ""VP of Customer Service""]","[""Influence Regulatory Policies""]","[""Freeze Hiring"", ""Focus on Essential Research Partnerships""]","[""Multi-Stage Evaluation""]","[""Social Responsibility Initiatives"", ""Milestone Achievement"", ""Service Quality""]","[""Debt Financing"", ""Leasing""]","[""In-Person Submission""]"
