id,slug,user,content,published_date,location,hashtags,mentions,urls,images_urls,videos_urls,num_of_likes,num_of_retweets,num_of_replies,num_of_quotes,score,type,parent_tweet_id,topics,categories,created_at
t11,financial-decide,u4,decision strategy speak article true. age memory over machine organization. around property member everyone want attack ask. fast resource laugh floor city necessary. into water after sport maintain late. knowledge discuss with system woman. choose game until time.,2022-02-15 11:18:05.055016,nan,[],['@user3'],['http://example.net'],0,0,9466,874,1590,24,11954,replied_to,t8716169693,[],research,2020-01-18 04:32:01.194520
t12,before-specific-car,u4,those score mother crime. forward born to north certainly tax. seat population occur situation single even dinner. yard off fly mouth majority process walk. government cut others both idea. rule financial himself large project write baby. also fine especially kitchen fund.,2024-04-17 20:24:29.079072,7319291190.0,"['#datascience', '#ai', '#machinelearning']",['@user4'],"['http://example.net', 'http://example.org']",0,0,3675,2774,513,127,7089,quoted,t3551065931,['science'],news,2020-11-07 20:40:06.921507
t13,garden-true-focus,u4,next glass my. low six seat everybody choice which. teacher century feel nation mission throughout. per word arm develop prove natural. eight with exist appear team beat message political. hospital employee future stock change vote.,2021-09-15 01:54:00.396563,nan,"['#ai', '#machinelearning', '#python']",['@user2'],"['http://example.com', 'http://example.org', 'http://example.net']",0,0,4588,887,13,610,6098,original,nan,[],tutorial,2022-03-28 17:49:44.271270
t14,social-really-gas,u4,minute off long before camera south. service expect economic guess. sing beautiful measure protect son billion skin. line carry green them current week bar. she this budget generation surface month. meeting talk certain here this media. training daughter begin activity.,2022-03-20 04:45:34.551700,nan,[],"['@user3', '@user4']","['http://example.com', 'http://example.net']",0,0,1180,3667,1427,525,6799,original,nan,"['robotics', 'data analysis']",interview,2023-04-29 12:49:38.897195
t15,matter-sing-body,u4,smile hope she myself. sit seven administration society color. ready him song all religious. voice notice stand more moment leader. peace cup which direction test and. story significant person win serve service tell evening. win million democrat his.,2024-07-16 03:28:48.063854,9713321381.0,[],"['@user5', '@user2']",[],0,0,6081,3726,1623,355,11785,replied_to,t1074729430,"['blockchain', 'science']",updates,2022-02-11 19:54:33.625074
t16,behind-former-as,u4,long style service understand. foreign difference eight nice still. film serious like news trial instead pass. note herself very article seven officer room. start pick pattern local last true assume. oil garden class.,2019-12-11 19:33:42.381643,4906138617.0,['#tech'],[],['http://example.com'],0,0,1346,3846,10,226,5428,replied_to,t6640592670,"['blockchain', 'science', 'cybersecurity']",news,2022-12-24 08:49:46.864094
t17,best-star-suddenly,u4,real choose right my. consider character old economic movie. agency would economic edge month every town southern. bring including provide money personal about. tv read best standard. choice authority each each traditional.,2022-07-09 16:39:23.522938,9922367057.0,"['#python', '#coding']","['@user5', '@user1']",[],0,0,1412,2986,1844,105,6347,retweeted,t3979687205,[],opinion,2022-04-06 02:14:07.016703
t18,professor-picture,u5,probably hotel nor option. personal hand too cost improve. rather take themselves success. people but good that debate respond tough. national soldier team product charge bank. film personal do. work degree respond relate yard.,2020-03-03 08:17:56.316237,8956355153.0,[],[],"['http://example.com', 'http://example.net', 'http://example.org']",0,0,2652,2392,1814,283,7141,original,nan,['artificial intelligence'],tutorial,2024-02-26 05:03:05.246689
t19,support-light-grow,u5,follow bad outside affect. suggest whether finish talk especially. occur billion book catch good job. can answer point research leave camera. yourself usually hear natural popular later forget. all pretty central sing certain standard.,2022-06-08 17:16:24.897509,1141390983.0,"['#ai', '#machinelearning', '#tech']",[],['http://example.com'],0,0,2702,1741,1021,502,5966,original,nan,"['technology', 'cybersecurity']",research,2023-03-24 04:41:04.757362
t20,life-coach-color,u5,ready authority late person walk issue body. all office ten truth pressure debate. walk lose whether heavy bar officer must. store agent behavior kind him beautiful end. have color agent network until. every base group team who money wall dark. one without him lot.,2023-11-23 13:57:29.788564,5192463932.0,"['#coding', '#ai', '#datascience']","['@user3', '@user5', '@user4']","['http://example.org', 'http://example.com', 'http://example.net']",0,0,5441,1096,1989,76,8602,original,nan,"['science', 'cybersecurity']",review,2020-10-10 10:16:12.212701
t21,much-stage,u5,suffer past dog. congress out particular defense. have ten always. important group surface. ground i job financial. future couple drop pass easy attack talk. even represent none five why worker. community tonight kind small cut group.,2024-02-21 16:11:12.068981,nan,['#datascience'],"['@user5', '@user3', '@user2']","['http://example.com', 'http://example.net', 'http://example.org']",0,0,4155,3818,1509,716,10198,quoted,t5985544552,"['blockchain', 'cybersecurity', 'quantum computing']",announcement,2020-10-15 11:17:42.073045
t22,weight-own-left,u5,however study charge remain weight. eat goal black girl protect organization. probably way player camera change require poor. various where coach. hotel vote goal play television.,2019-11-09 14:14:25.680877,nan,"['#datascience', '#ai']",[],"['http://example.net', 'http://example.org', 'http://example.com']",0,0,9286,4436,1980,792,16494,quoted,t2138507176,"['cybersecurity', 'artificial intelligence', 'science']",case study,2022-09-01 21:18:06.300622
t23,south-wonder-fly,u5,rule price establish forward. series loss hundred. thought those mind. his side feel mind our knowledge brother. tv successful election cause left early. effect believe suggest building child attorney. congress how especially address floor lose.,2022-11-08 03:35:05.073608,1030215129.0,"['#coding', '#tech']",['@user3'],[],0,0,1123,4786,279,558,6746,quoted,t8384950527,"['cybersecurity', 'science']",research,2022-03-03 18:55:57.572896
t24,find-shoulder,u5,member few single car. could human front discussion such method scene. road executive rather factor. interest role true much poor different suffer fish. ground compare state onto. foot whatever phone happy bill year. force nor pick cell tax. why seat treatment throughout.,2024-01-01 17:39:13.511089,8182266390.0,[],['@user1'],"['http://example.org', 'http://example.com']",0,0,3517,3425,1594,288,8824,quoted,t7625240443,[],updates,2019-11-08 06:36:35.405118
t25,nature-issue-it,u5,down their reduce idea you. quite white drop kind care evidence shoulder party. rather great life bag image red. issue idea upon likely campaign year free always. none us race become present. large though large project race never. audience owner what fall data.,2024-08-10 23:55:16.847152,nan,['#python'],"['@user4', '@user5', '@user1']","['http://example.com', 'http://example.org', 'http://example.net']",0,0,4100,653,1003,617,6373,original,nan,"['artificial intelligence', 'data analysis']",review,2023-08-10 09:24:32.431665
t26,maintain,u5,others shake account exist gun himself spring. sport seek order someone station cell ready. stage mr owner. and music card four smile same one. tv scene give stand recent be hope explain. executive born carry water. what man worker morning town visit republican.,2023-10-17 20:45:30.514325,nan,"['#tech', '#datascience', '#coding']",[],"['http://example.com', 'http://example.net']",0,0,5911,4445,1639,865,12860,replied_to,t3814715572,[],review,2023-12-02 05:00:51.692379
t27,government-foot,u5,citizen reveal strategy perform blue important carry. how political several rest forward investment. away peace and itself save line responsibility. money black week accept brother through husband. probably discuss activity find drive each. safe surface he charge film know.,2023-06-25 00:33:15.207047,2513882831.0,"['#machinelearning', '#datascience']",['@user4'],"['http://example.net', 'http://example.com']",0,0,9576,1504,1769,481,13330,original,nan,"['data analysis', 'quantum computing']",interview,2021-08-18 17:50:47.245066
t28,marriage-rest,u5,make develop memory myself her find. effort military game agreement send participant. fire whom production lot wait learn. news question speak body easy federal just. table old subject wrong site. especially if cost address.,2022-06-30 03:55:08.137483,nan,['#tech'],[],"['http://example.net', 'http://example.org', 'http://example.com']",0,0,1336,3916,1,378,5631,retweeted,t8291788024,['robotics'],news,2023-06-03 02:28:15.844956
t29,school-score-voice,u5,determine occur physical professor. cover wrong follow south central identify. poor method pay always yourself bring until although. especially medical test you type different. economic say television size computer. trouble arm agent.,2023-07-27 12:13:10.038635,4916935331.0,['#python'],[],[],0,0,2537,1129,1827,125,5618,replied_to,t8607832439,"['data analysis', 'science', 'cybersecurity']",research,2020-06-06 04:06:58.531392
t30,week-right-friend,u5,reflect research list republican political wall. though probably seven eye car oil people group. so defense hundred factor mission. between need see little hair. chance scene week. whether wonder note those civil power. second environmental wind.,2020-02-22 05:38:06.659258,7236544275.0,"['#datascience', '#machinelearning', '#tech']",['@user3'],['http://example.net'],0,0,6865,324,1080,513,8782,quoted,t9044884569,[],tutorial,2022-06-03 12:53:37.600870
t31,author-experience,u5,job cold hear apply. appear try hold several inside friend. indicate option your market hair hour itself. here remember line school. cup character in certainly food catch sit. boy yard never budget majority themselves pm. probably education degree. whom mission grow listen.,2022-09-10 17:31:22.400566,nan,['#coding'],"['@user2', '@user3']",[],0,0,1441,633,1237,416,3727,retweeted,t7608495632,"['science', 'technology']",announcement,2020-06-24 22:33:48.852895
t32,church-fall-special,u5,movie involve water throw seat choose important hair. change attention oil voice maintain. manage must maintain eight heavy. television trip paper value before we. pretty building crime newspaper have under school. operation view first pass risk. claim whether accept then.,2020-02-09 06:59:07.002351,3750209267.0,"['#ai', '#datascience', '#coding']",[],[],0,0,4896,884,1203,124,7107,original,nan,"['cybersecurity', 'technology', 'science']",opinion,2020-08-17 18:39:45.737652
t33,serious-always,u5,world upon anything. total analysis we live. song key yard cell with behind former mission. record history dark reason month. why century risk challenge seem meeting sit notice. over speak while everyone woman course various. economic ready make important door likely.,2021-09-28 08:59:51.175549,nan,['#tech'],['@user3'],"['http://example.net', 'http://example.com']",0,0,8282,2034,447,390,11153,retweeted,t2941934879,"['artificial intelligence', 'quantum computing', 'data analysis']",news,2021-04-21 15:25:37.476346
t34,best-film-control,u6,theory exactly particularly animal foot for. democrat take perhaps technology. body sign free kid. prepare task movement forget born home security. son perhaps money anyone address tree. discuss on at room fly team. wall show front while. become case class though information.,2023-12-27 08:32:45.930125,7227330335.0,['#ai'],['@user1'],['http://example.net'],0,0,9154,4711,1754,590,16209,original,nan,"['blockchain', 'cybersecurity', 'quantum computing']",case study,2019-10-19 14:28:56.432870
t35,take-people-each,u6,law cause example at law me produce. recently low term rate. want something provide miss value. foreign table tend share organization visit. trouble machine point suffer big visit. experience investment individual for.,2023-06-09 08:49:08.252233,1474392634.0,"['#python', '#tech']",['@user4'],['http://example.org'],0,0,2064,3659,1729,659,8111,quoted,t5600611092,['science'],announcement,2019-09-08 18:04:06.381398
t36,answer-mission,u6,source room human media. director play student amount after tend science. election tree leader say visit. tv whom environment authority. garden they foreign own. pretty their keep say wait north. hard agency nation it impact. response his hundred place energy room realize.,2020-03-10 07:30:13.093229,nan,[],['@user3'],"['http://example.com', 'http://example.org']",0,0,7037,1182,1812,23,10054,original,nan,"['technology', 'robotics', 'science']",news,2019-11-16 07:24:55.572544
t37,song-nation-across,u6,travel per purpose baby. deal once hair behind anyone site. factor forward consider all when kid project. behind party democratic magazine. when indeed dream. surface mouth little. mouth sit recently energy. bad box top. forget themselves budget.,2023-11-26 19:02:12.114407,1891883625.0,['#tech'],[],['http://example.com'],0,0,7933,3869,237,578,12617,quoted,t6695571322,[],case study,2021-09-28 09:42:52.671173
t38,west-pretty,u6,probably store including radio. control community rate behind. safe poor mr house in food per. particularly up drug compare item treat conference. whether role dinner campaign hour. risk sign can address short. wife fall training we tough trip.,2020-12-06 04:55:39.751658,1677653099.0,[],['@user2'],"['http://example.org', 'http://example.com']",0,0,2039,772,717,512,4040,original,nan,[],event,2023-06-30 11:17:31.392485
t39,least-two-herself,u6,similar must energy value democrat top need. choose street arrive significant gas. contain man catch class lose. throughout daughter morning beautiful common human him.,2024-04-27 11:46:56.183956,3105723676.0,['#python'],"['@user3', '@user1']",['http://example.com'],0,0,1992,2424,319,160,4895,original,nan,"['quantum computing', 'blockchain']",review,2022-04-23 09:01:47.025988
t40,interesting-art,u7,expert choose hold increase hour indicate hard. member sure adult model other. successful charge much process. everyone knowledge black subject tax carry fast. space should point consumer indeed. face best walk. event consider stage over easy.,2020-07-23 12:39:42.890576,5654025471.0,"['#datascience', '#machinelearning']",[],"['http://example.org', 'http://example.net']",0,0,6018,2178,971,853,10020,quoted,t8762432512,[],event,2022-08-23 07:26:57.567725
t41,past-ahead,u7,exactly learn white good former. fill item role campaign rich. tree close result home off. last news security leave certainly. model when about data clearly boy attorney. ask eye citizen which. amount future strategy war rule piece. anyone among side in score.,2019-12-19 22:51:09.415339,7270734434.0,[],[],['http://example.net'],0,0,3951,2990,468,271,7680,retweeted,t2154540744,[],interview,2024-03-28 20:17:13.448806
t42,born-program,u7,traditional rather floor about himself fund. commercial meeting see. mind commercial forget heavy. sense possible measure voice tonight production. voice unit attack national source energy. budget owner go ahead focus. phone order a blood message cause guy. enjoy system wonder.,2022-12-05 06:20:40.381468,7465244214.0,"['#ai', '#python']",[],[],0,0,8635,2605,410,829,12479,replied_to,t1343089393,['quantum computing'],research,2021-06-03 12:22:14.664763
t43,and-again-once,u8,friend establish story among eat page. scene arm another. political move middle tree sound. material grow read. fish seem husband through discover production ahead. writer serious system. interest short get follow pull. compare attention right seem energy.,2023-03-02 14:58:19.221900,5704794991.0,['#datascience'],"['@user1', '@user2']","['http://example.net', 'http://example.com']",0,0,5320,2763,453,465,9001,quoted,t1052187415,"['technology', 'science']",opinion,2024-08-09 14:30:58.072992
t44,share-market-tax,u8,pick summer season use require. at season doctor environmental lead notice bill. few partner fine it. push mind size heavy never. industry letter pull. remain meeting where then process others.,2023-11-02 13:08:32.884458,nan,"['#python', '#tech', '#machinelearning']","['@user4', '@user3', '@user5']",[],0,0,1169,1095,1776,185,4225,original,nan,"['science', 'data analysis', 'cybersecurity']",announcement,2021-04-13 06:59:44.128449
t45,another-gas-appear,u8,central order number likely stuff let. book reflect believe lose modern red. notice very surface. simply activity the man question. necessary see clear weight professor though.,2021-05-28 16:52:05.469337,5758072190.0,"['#datascience', '#tech']","['@user2', '@user1']","['http://example.com', 'http://example.net', 'http://example.org']",0,0,1632,182,641,165,2620,replied_to,t6523610242,"['science', 'cybersecurity']",announcement,2022-06-24 21:41:26.756939
t46,real-within-form,u8,rise she draw second democratic trial hope. growth watch certain per. road heavy stop baby where. until board protect might religious avoid. last after recognize scientist. alone person security none sense option process.,2021-10-02 06:53:20.216437,nan,[],['@user3'],"['http://example.com', 'http://example.org', 'http://example.net']",0,0,107,1957,1294,414,3772,quoted,t9062717778,"['quantum computing', 'data analysis', 'blockchain']",review,2023-02-25 04:30:13.922785
t47,model-daughter,u8,hospital how medical yourself. speak range decide campaign bar at specific. simple middle late represent. while model him tv play sister. pattern rule rest.,2020-01-19 19:18:03.615434,nan,"['#python', '#machinelearning', '#ai']",['@user5'],[],0,0,2275,1591,314,776,4956,original,nan,"['quantum computing', 'cybersecurity']",review,2023-11-23 13:00:20.871531
t48,mr-other,u8,same try region individual military world. center certainly generation different. drug never star glass almost share. page toward fact financial capital. see ahead sing interest. month voice decade ten rich coach. hospital only total house. defense read position gun clear.,2019-09-29 12:05:37.632770,nan,"['#tech', '#coding', '#datascience']",[],"['http://example.net', 'http://example.com']",0,0,6206,135,1170,123,7634,quoted,t4956465892,[],tutorial,2022-02-20 17:13:53.102648
t49,rock-break-loss,u9,beyond pm simply really section. rule financial computer response the. of address music affect rest woman. should well economic store executive generation war. white type his so local church generation particular.,2019-08-19 09:45:14.829219,nan,"['#coding', '#python']","['@user3', '@user2', '@user5']",[],0,0,9864,4756,1003,314,15937,quoted,t5196372524,['technology'],opinion,2023-07-16 02:28:15.396859
t50,stand-any-world,u9,thought contain present build somebody animal. push matter others beyond if use a. above these similar no conference officer. whose stop accept rule push country. four sister direction.,2021-10-10 18:53:28.586033,nan,[],[],"['http://example.com', 'http://example.org']",0,0,6083,3755,1273,341,11452,original,nan,"['artificial intelligence', 'technology', 'science']",updates,2019-11-28 03:04:02.517159
t51,hotel-personal-join,u9,season true car top how usually that to. save fund entire suffer offer throw. major decide kid week reveal. off top player treatment reason. better unit maybe and. number artist carry. artist suddenly minute almost. program hand relate argue entire then unit.,2019-10-26 15:10:42.502345,2690936773.0,"['#datascience', '#tech', '#coding']","['@user1', '@user4']","['http://example.net', 'http://example.com']",0,0,1033,3512,1065,994,6604,original,nan,[],research,2021-09-28 06:43:17.804174
t52,best-research-top,u9,raise positive gas light. perhaps institution example happen country later firm. performance at term force clear large. say within seven hope. nice entire enough thus call even. green citizen say.,2021-06-09 16:35:30.734858,9226120088.0,"['#ai', '#coding', '#python']",['@user3'],['http://example.net'],0,0,255,4489,1254,83,6081,retweeted,t2634537007,[],opinion,2022-03-07 15:04:38.602040
t53,west-indicate-well,u9,police must month event its thank. letter always high. present science particular wear really. stock range policy want tree. truth exist practice during us nearly million. customer up fish radio report water between law. value community pay far.,2021-04-25 03:53:32.001754,7190789496.0,['#ai'],"['@user3', '@user5']",['http://example.net'],0,0,808,2908,1367,798,5881,original,nan,['cybersecurity'],announcement,2020-01-07 11:09:31.066274
t54,choice-voice-listen,u9,century audience training family. security bill cost agreement south officer. week gun reason ask store painting. range dark speak want left. per state machine represent security him show nor.,2021-06-05 06:02:30.623328,nan,['#machinelearning'],[],"['http://example.net', 'http://example.com', 'http://example.org']",0,0,5601,214,169,818,6802,original,nan,"['artificial intelligence', 'data analysis', 'robotics']",updates,2019-12-17 17:33:04.264148
t55,safe-phone-positive,u9,toward test off yeah big plan song research. can outside reach culture wind foreign game. hit all me successful mother ability. among author friend trip boy. no magazine sit direction there base near lay. fund must act common up you large.,2022-09-18 01:15:49.131168,nan,[],"['@user1', '@user5']",['http://example.net'],0,0,7742,1018,258,191,9209,replied_to,t5167511308,"['quantum computing', 'data analysis', 'science']",announcement,2020-07-17 08:13:26.659890
t56,some-quickly-thank,u9,pass again kind forget. voice employee family would. feeling just clearly. lawyer anything peace sure. social reflect special i letter option successful upon. learn history particularly population person far. kind pattern election responsibility have.,2021-03-25 16:52:20.896786,1083937929.0,[],"['@user5', '@user3']",[],0,0,4345,1098,1438,157,7038,original,nan,['technology'],opinion,2020-12-29 18:11:14.836208
t57,fish-sit-control,u9,age others social century. save future important need trouble left positive age. watch former though go. some behavior ask lot consider drop dinner. so store experience make. break across together available. through environmental his agent administration force life.,2022-06-11 05:33:17.692760,2106177597.0,['#datascience'],['@user4'],"['http://example.org', 'http://example.net']",0,0,9685,2159,1704,995,14543,retweeted,t7815054768,"['artificial intelligence', 'cybersecurity']",case study,2020-06-05 18:14:37.633542
t58,whether-sometimes,u9,miss age create somebody would carry within. trial newspaper pass arrive cell prepare out democrat. with open where station example early. industry society hotel agency say decade though. risk research big call floor message in. several student probably discover field voice.,2019-11-02 11:15:51.589947,1049362102.0,['#machinelearning'],"['@user4', '@user1', '@user5']","['http://example.com', 'http://example.org', 'http://example.net']",0,0,4992,4187,1750,465,11394,retweeted,t6487840879,['blockchain'],case study,2020-08-21 03:07:48.581036
t59,always-through-sell,u9,information decide industry. tree smile drop when one art. speech should early serious. dinner child section mention. reveal else also performance history room decision. evening response beyond level evidence when social. during serve store oil.,2022-10-19 05:36:53.712853,nan,"['#ai', '#tech']","['@user2', '@user4']","['http://example.org', 'http://example.net', 'http://example.com']",0,0,9955,526,1309,176,11966,replied_to,t7213738571,['cybersecurity'],tutorial,2020-11-14 09:04:28.190841
t60,conference-treat,u9,seat whole realize finally play news. now people assume hundred region order something. building foot class citizen never public age economic. seem order green behind. four care effect real able soon newspaper.,2022-04-10 08:05:54.335981,nan,[],['@user4'],[],0,0,44,410,1705,517,2676,replied_to,t4535471146,['quantum computing'],news,2024-04-07 08:20:05.725080
t61,property-cup,u9,executive agency else nothing five describe democratic. heavy population leave strong operation practice. until everybody kind class example would peace. must tax prepare all unit. various dog hand particular family garden television.,2020-08-24 06:47:10.947739,3987778627.0,[],['@user1'],"['http://example.com', 'http://example.net']",0,0,1881,2617,947,202,5647,quoted,t6325507887,"['robotics', 'blockchain']",interview,2022-10-03 04:53:04.711972
t62,argue-discussion,u9,probably purpose end rather. produce everything computer enter face dinner. beyond make by sense. understand give let network region design. new consumer foot. start mrs major sound develop war eye. best fight address remember and could world.,2024-06-30 11:05:50.593361,nan,"['#coding', '#python', '#datascience']","['@user1', '@user4']","['http://example.net', 'http://example.org']",0,0,2209,3659,653,853,7374,replied_to,t5278565401,"['quantum computing', 'blockchain', 'science']",tutorial,2022-02-20 07:16:13.460092
t63,federal-hit-early,u9,letter throughout decade positive trade knowledge. fly since economic strong him. receive with really together live really. like enjoy show staff half shake rock. these above sign. republican administration hit weight might offer. admit movie board stock final year.,2023-12-24 19:18:28.990389,5722334201.0,[],['@user2'],[],0,0,7006,4964,777,730,13477,quoted,t5443706451,['data analysis'],news,2022-03-26 22:19:41.671527
t64,case-believe,u9,agreement behind would knowledge focus. eight cup chair door travel. executive soon their may best. feel behind class knowledge middle necessary. morning course between today home human remember. major clearly someone vote lay section where. art wall film free stock system.,2022-08-27 03:54:21.290817,2196331681.0,['#python'],['@user4'],[],0,0,1407,4760,1540,740,8447,quoted,t7803295359,['cybersecurity'],news,2021-03-19 16:09:16.398757
t65,ask-indeed-series,u9,item response pick meeting trouble. behavior purpose anyone may. cultural carry mouth same claim religious american land. bed mind herself short already concern. century together fire. member health very bag law bad book. office american must. election according state ago.,2021-06-18 16:46:59.379814,nan,[],['@user5'],[],0,0,271,2016,1045,845,4177,replied_to,t4511246691,"['technology', 'quantum computing']",opinion,2021-01-31 19:42:42.040855
t66,red-thank-chance,u9,happen bad data throughout. hundred military think tend finish message. carry affect this live the. prove pull represent citizen forward. somebody treatment support. a forget consider cup case discuss business until. present during development their. authority wind field series.,2023-10-22 03:39:09.717932,8350445621.0,"['#coding', '#datascience']",['@user4'],"['http://example.net', 'http://example.com']",0,0,8874,2661,741,395,12671,retweeted,t2705113527,[],tutorial,2022-01-15 08:02:26.024723
t67,impact-especially,u10,picture culture sit for although drive thank. some cut give everything take. stage collection half partner religious. election according always issue. dog development say end option specific yes.,2024-02-19 19:26:46.949909,nan,['#machinelearning'],"['@user5', '@user2']",[],0,0,889,3104,1628,345,5966,original,nan,"['robotics', 'quantum computing', 'science']",updates,2019-11-12 16:59:51.769624
t68,past-central-glass,u10,city agent into water fund nothing. loss congress produce garden kid. coach should pattern recent lay arm. enough factor suddenly police become. beat artist wide interesting. medical him agreement. tonight project kind catch. culture key player city activity. energy wrong it a.,2021-05-31 14:48:07.825058,9547762546.0,['#tech'],[],[],0,0,2830,4127,1162,505,8624,retweeted,t5378029367,"['artificial intelligence', 'technology', 'blockchain']",research,2020-04-25 17:00:52.025309
t69,feeling-want,u10,including thought care morning activity mean budget. western gas prepare popular hard stock buy. owner decade former try yet rule. sure reduce business management inside. international pm court today event responsibility foreign room.,2021-03-27 06:13:57.068520,nan,"['#machinelearning', '#python', '#tech']",[],['http://example.org'],0,0,438,2807,308,814,4367,original,nan,[],news,2023-07-06 12:55:48.090203
t70,tell-test,u10,certainly specific republican travel woman. it bar receive democrat pay scene mission. behavior wait before economic. show image example office whatever back pretty. interesting sound ability vote why hope development. medical drug knowledge responsibility specific simply paper.,2021-02-14 03:24:43.367486,8242085677.0,[],['@user3'],"['http://example.net', 'http://example.com', 'http://example.org']",0,0,2514,3614,1747,816,8691,replied_to,t4006772123,"['quantum computing', 'robotics']",opinion,2021-03-31 04:54:48.406012
t71,nice-entire,u10,need walk nice owner position. by stop energy operation say guess daughter week. small affect election instead model game teach. authority occur heavy around near focus. against somebody quality night old.,2022-09-24 02:31:00.655917,nan,[],"['@user4', '@user3']",['http://example.net'],0,0,9661,2211,211,590,12673,retweeted,t4410650969,['cybersecurity'],updates,2022-07-21 19:42:56.230776
t72,born-number-clear,u10,amount good visit modern. home have cover. wind hard cell already sister wide. watch current join water theory simply support police. price with bad according week bit leader. control better can condition as north third. one both pm general long either research they.,2019-09-21 22:11:50.593359,nan,['#tech'],['@user2'],"['http://example.org', 'http://example.net']",0,0,5784,4956,1345,866,12951,retweeted,t6535539414,"['robotics', 'cybersecurity', 'science']",review,2022-09-09 17:39:17.555116
t73,risk-others-mr,u10,attention there just day somebody bring determine. save nothing fact eat parent student style share. will national i draw tell drop difficult. where yet film. get product leg reality. country although blood other. support field or deep. maybe indeed visit enjoy.,2020-05-21 19:44:13.740060,2673576731.0,"['#machinelearning', '#tech']","['@user3', '@user4', '@user1']","['http://example.org', 'http://example.net']",0,0,8934,1955,583,264,11736,retweeted,t7883647755,"['robotics', 'quantum computing']",review,2021-02-21 14:47:33.127640
