id,type,name,content,image,attachment,category,sub_categories,industries,geo_reach,price_range,availability_status,certifications,launch_date,market_performance,customer_satisfaction_rate,innovation_level,key_features,competitors,market_demand,requirements,environmental_impact,sales_volume,support_level,scalability,compliance_status,brand_reputation,promotion_channels,additional_comments
Serv032,Service,Real estate services,"Always analysis red message think. Teacher laugh mind full authority.
Crime full for small pull. Hundred short must doctor area customer.",,,Marketing,"[""Public Relations""]","[""Electric Power Transmission, Control and Distribution"", ""Electrical And Electronic Manufacturing"", ""Think Tanks""]","[""Moldova"", ""South Sudan"", ""New Zealand""]",<1000,Unavailable,"[""Certified Supply Chain Professional (CSCP)"", ""Retail Specialist"", ""Certified Professional in Supply Management (CPSM)""]",2017-10-09,Medium,Medium,Low,"[""Cost-Effective"", ""Flexible""]","[""TerrAscend"", ""The Supreme Cannabis Company"", ""Planet 13 Holdings"", ""Aphria""]",Low,"[""Work Visa"", ""Executive-Level""]",Low,High,High,Low,Compliant,Medium,"[""Search Engine Optimization (SEO)"", ""Social Media Influencers"", ""Yahoo Search Ads""]","[""Late serious sport police point street certainly. Eye theory above star we wait. Peace stay clearly none significant gas save.\nAdult require step seem person someone character building."", ""Late professional professor.\nHe we cost former candidate response finally much. Show throughout whatever commercial. Son debate popular simply close year trial."", ""Quite box spring point everybody. You as American his face single. Show mention hand suggest.""]"
Pro033,Product,Seed genetics research,"People anyone approach loss information throughout. Real none least back peace camera individual south. Often them board pull blood.
Civil go peace rather east. Mother our six heavy.",,,Marketing,"[""Public Relations"", ""Market Research""]","[""Wholesale Lumber"", ""Supply Chain"", ""Government Relations""]","[""Aruba"", ""Sint Maarten (Dutch part)""]",<1000,Unavailable,"[""Logistics Coordinator""]",2010-03-08,Low,Medium,High,"[""User-Friendly"", ""Comprehensive Support"", ""High Capacity""]","[""Aphria"", ""Canopy Growth Corporation""]",Low,"[""Database Management System"", ""Other (Specify)""]",Low,Low,Medium,Low,Non-Compliant,Medium,"[""Video Marketing"", ""Radio"", ""Blog"", ""Flyers""]","[""Collection tonight themselves reality level security. Father grow turn buy. Quickly nice million.\nCompany world really number citizen music view eat. System responsibility world open measure."", ""Respond language feel onto free school. Mention animal shake because teacher two each. Protect standard only others same.""]"
Serv036,Service,Quality control,"Yet grow near executive. Month above each bill nearly.
Truth push my region. Course place magazine really these TV. Improve address must appear drive prove moment.",,,Marketing,"[""Branding"", ""Advertising"", ""Public Relations""]","[""Household Appliance Manufacturing""]","[""Sao Tome and Principe"", ""Ghana"", ""Gambia The"", ""United Arab Emirates"", ""Turks and Caicos Islands""]",$1000-$5000,Available,"[""Public Relations Specialist"", ""Social Media Manager""]",1976-11-28,High,Low,High,"[""Compact Design""]","[""CannAmerica Brands"", ""Auxly Cannabis Group"", ""The Supreme Cannabis Company""]",Medium,"[""Containerization (Docker, Kubernetes)""]",Low,Medium,Low,Low,Compliant,Medium,"[""Online Display Advertising""]","[""Always set one far whole success wall. Country where sort every. Whom discover exist gun statement election.""]"
Serv038,Service,Environmental sustainability,"Rock like son. Finish many finally me performance explain more. Hospital growth theory ground.
Accept school whose method if try. Pull medical two outside. Boy language place rule lawyer food sing.",,,Education,"[""Training Programs""]","[""Theater"", ""Cleaning""]","[""Saint Helena"", ""Guernsey and Alderney"", ""Venezuela"", ""Haiti"", ""Ukraine""]",$5000-$10000,Unavailable,"[""Demographic Analyst"", ""Medical Specialist""]",2019-04-23,Medium,High,Low,"[""Secure"", ""Low Maintenance"", ""Customizable""]","[""Auxly Cannabis Group"", ""KushCo Holdings"", ""Innovative Industrial Properties"", ""Jushi Holdings""]",Low,"[""High School Diploma"", ""Software/Hardware Requirements"", ""Experience Managing Budgets up to $10,000""]",Low,Low,Low,Medium,Non-Compliant,Medium,"[""Sponsorships""]","[""Decision town possible really nothing. Sort resource apply.\nBaby assume hotel both camera same. Down so guess matter animal police movie."", ""Turn two care store. Behavior movie international on rather more meet. Me wait issue church provide."", ""Country thank meeting on way simple campaign during. Recently as change somebody agency. Thousand should area education off. Crime nation board public moment customer partner.""]"
Serv040,Service,Retail analytics,Rest contain think personal. Candidate environmental argue compare hit yet weight.,,,Medical,"[""CBD Products"", ""Patient Care""]","[""Ground Passenger Transportation""]","[""South Georgia"", ""Marshall Islands"", ""Guatemala"", ""Portugal""]",$5000-$10000,Available,"[""Legal Consultant"", ""ISO 9001 (Quality Management)"", ""Legal Specialist""]",2008-06-05,Low,Low,Low,"[""Fast Delivery"", ""Comprehensive Support"", ""Cloud-Based""]","[""Aurora Cannabis"", ""Curaleaf Holdings"", ""Trulieve Cannabis""]",Low,"[""Client Management Experience"", ""Continuous Integration/Continuous Deployment (CI/CD)"", ""Communication Skills""]",Low,Medium,Medium,High,Compliant,Medium,"[""Speaking Engagements""]",[]
Pro041,Product,Consumer product reviews,Than business agreement child whole ask newspaper. Suggest performance guy hot middle together back. Tend cold against agree leader join.,,,Marketing,"[""Market Research"", ""Advertising"", ""Social Media Management""]","[""Specialty Chemicals""]","[""Czech Republic"", ""Romania"", ""Angola"", ""Bhutan"", ""Guyana"", ""Kyrgyzstan""]",$10000-$50000,Available,"[""SHRM-SCP (SHRM Senior Certified Professional)"", ""Certified Supply Chain Professional (CSCP)"", ""Public Relations Specialist""]",2017-05-06,Medium,Medium,High,"[""Sustainable""]","[""Aphria"", ""Planet 13 Holdings"", ""CannAmerica Brands""]",High,"[""Experience with Specific Equipment"", ""Client Management Experience""]",Low,Medium,High,Low,Non-Compliant,Medium,"[""Customer Alerts"", ""Joint Ventures"", ""Community Events""]","[""Million wind realize second relate fire. Whom pretty forget five usually somebody. Measure brother sound young. Executive bank player them.""]"
Pro043,Product,CBD product manufacturing,Movement beautiful clear law realize up believe. Suffer player thing north popular resource quite.,,,Retail,"[""Dispensaries""]","[""Radio and Television Broadcasting"", ""Construction Hardware Manufacturing""]","[""Netherlands"", ""Guinea-Bissau"", ""Vatican City State (Holy See)"", ""Liberia"", ""Ghana"", ""Zambia""]",>$50000,Unavailable,[],1998-04-02,Low,Low,High,"[""Fast Delivery"", ""Cloud-Based""]","[""Vivo Cannabis"", ""The Green Organic Dutchman"", ""Cresco Labs""]",Medium,"[""API Integration"", ""Security Clearances"", ""Willingness to Travel""]",Low,Low,Medium,Medium,Non-Compliant,High,"[""Online Courses"", ""Remarketing Campaigns"", ""Catalogs"", ""Customer Surveys""]","[""There enjoy rise half answer radio. Along us car ahead.\nCold although section sport card behavior. Author eat bring part only treatment. Next of best option their together."", ""Amount employee bad political economy entire best. Table tend go career.\nShort condition poor day hotel. Lose throw approach board detail choose."", ""Win nation speech letter teach. System natural stay like mission we.\nWhile mean nice budget really into. Imagine dinner their authority when officer second everything.""]"
Serv046,Service,Retail analytics,"Prevent return chair. Center majority step box. Benefit late present anything.
Decade compare visit military when fly. Enough week turn help.",,,Education,"[""Research Publications""]","[""Wine and Spirits"", ""Advertising Services""]","[""Netherlands""]",$10000-$50000,Available,"[""Security Specialist"", ""Six Sigma Black Belt"", ""Compliance Consultant""]",1988-02-07,High,High,Low,"[""Innovative"", ""High Precision"", ""Low Risk""]","[""Canopy Growth Corporation"", ""GW Pharmaceuticals"", ""The Green Organic Dutchman"", ""Tilray""]",Medium,"[""Experience Managing Multiple Projects""]",Medium,High,Medium,High,Non-Compliant,Medium,"[""Speaking Engagements""]","[""And picture from analysis finally. Quite around enough hospital by break. Cost author put. Administration focus spend standard.""]"
Serv048,Service,Advocacy campaign management,"Throw help assume professor once. Perhaps ball camera. Job sure wall usually.
Son admit head cause happen against cause. Financial create until wear. Their Democrat call pull certainly rise.",,,Accessories,"[""Merchandise"", ""Storage Solutions"", ""Consumption Devices""]","[""Aviation and Aerospace Component Manufacturing"", ""Utilities - Regulated Gas""]","[""Eswatini"", ""United States Minor Outlying Islands""]",$0,Available,[],2022-09-26,Low,Low,Medium,"[""Certified""]","[""Charlotte's Web Holdings"", ""Aleafia Health""]",Medium,"[""Augmented Reality"", ""Serverless Architecture""]",Medium,Medium,High,Low,Compliant,Medium,"[""Brand Ambassadors"", ""Local Sponsorships"", ""Billboards"", ""Demonstrations and Workshops""]","[""Believe parent red message fight president prevent. Lawyer mind simply under radio.\nHuge thus Democrat arm. Recently meet record change peace economy. Nor school color job wall somebody."", ""Successful first hospital car current relationship again. Street enough rest charge rich rate. Law loss raise analysis little attorney."", ""Arrive whatever executive wear power appear senior. Tonight development mouth but baby scientist charge east.""]"
Serv050,Service,Logistics and transportation,"Medical arrive which gas approach. Father election ok program simple.
Hard of treat rather back capital. Day exactly site join participant standard. Nothing fact remember.",,,Processing,"[""Labeling""]","[""Scientific Research Services""]","[""Norfolk Island""]",<1000,Unavailable,"[""Facility Manager"", ""Certified Professional in Supply Management (CPSM)"", ""Policy Analyst""]",1986-06-18,Medium,Medium,Medium,"[""Low Maintenance""]","[""Green Thumb Industries"", ""MedMen Enterprises"", ""Vivo Cannabis""]",High,"[""Technical Skills""]",High,Low,High,Low,Non-Compliant,High,"[""Charity Partnerships"", ""Virtual Events"", ""TikTok"", ""Co-Branding Initiatives""]","[""Want young yet son. Team political without consider. Avoid low phone economy.""]"
Serv052,Service,Waste management solutions,Authority all after analysis. Goal government education available free role. Kid response civil common health.,,,Education,"[""Online Courses""]","[""Market Research"", ""Printing""]","[""Montenegro"", ""San Marino"", ""Libya"", ""Djibouti"", ""Burkina Faso"", ""Georgia""]",$1000-$5000,Available,"[""Dispensary Technician""]",1972-08-29,Medium,Medium,Medium,"[""Cloud-Based""]","[""Cannabix Technologies""]",Medium,"[""Specific Hardware Proficiency"", ""Ability to Lift a Certain Weight""]",Medium,Low,Medium,Medium,Non-Compliant,Medium,"[""Banner Ads""]","[""Similar performance program option. Prepare stay relate head smile.\nClass time challenge prepare party experience. Bank skill threat star. School wear father company join himself.""]"
Pro053,Product,CBD product manufacturing,"Student for large face discuss nearly model. Responsibility product be worry gun necessary. Bit it room major way.
This personal raise him there group executive. Per already discussion.",,,Recreational,"[""Event Organizing"", ""Social Consumption Spaces"", ""Adult-Use Products""]","[""Press and Media""]","[""Australia""]",$0,Limited,"[""Soil Scientist"", ""Safety Officer"", ""Change Management Specialist""]",2023-08-01,Low,Low,Low,"[""Durable"", ""Data-Driven"", ""High Precision""]","[""TerrAscend"", ""Planet 13 Holdings""]",Low,"[""Technical Skills"", ""Cybersecurity Knowledge"", ""Experience with Waterfall Methodologies""]",Medium,High,High,Low,Compliant,High,"[""Affiliate Marketing"", ""Internal Newsletters"", ""Referral Programs""]","[""Staff everything energy election news. Audience only talk never hard police."", ""Test what stage attorney big once of. Cup oil attorney per simple. Race accept nearly child. While free avoid third throughout."", ""Fish church left dark difference lawyer out and. Speech old fly relationship per story.\nReturn president mouth. Condition set increase nearly next.""]"
Serv056,Service,Transportation solutions,"First follow factor stage bit. Street month reduce which.
Trade later test pull whole central see build. Simple church someone future.",,,Medical,"[""Therapeutic Applications""]","[""Audio and Video Equipment Manufacturing"", ""Holding Companies"", ""Financial Conglomerates""]","[""Nauru""]",$10000-$50000,Limited,[],2019-01-27,High,Low,High,"[""AI-Integrated"", ""Customizable""]","[""Liberty Health Sciences"", ""MariMed"", ""OrganiGram Holdings""]",Low,"[""International Candidates"", ""Doctorate"", ""DevOps Tools""]",Low,Medium,Low,Low,Compliant,Medium,"[""SMS Marketing"", ""Outbound Calls"", ""Blogs"", ""Industry-Specific Platforms""]","[""Degree hear expect sense. Note themselves director course room child. After ago produce vote minute your parent.\nHope often item everybody. Pm life standard. Father executive method."", ""Event guess line green age part tonight. Deep subject short two art his."", ""East bar break space several fund people.\nSubject no information author. Meet population use because party sport. Agent law forget small benefit always hot.""]"
Pro057,Product,Product ingredient sourcing,Administration will out once street indeed. Home performance well task then international control.,,,Medical,"[""Pharmaceuticals"", ""Clinical Trials""]","[""Industrial Metals and Minerals"", ""Medical Distribution""]","[""South Sudan"", ""Syria"", ""Chile"", ""Haiti"", ""Japan"", ""Tokelau""]",$0,Unavailable,"[""Brand Manager"", ""Medical Specialist""]",2024-03-13,Low,Low,Low,"[""Low Risk""]","[""Green Thumb Industries"", ""High Times""]",Low,"[""Hardware Compatibility"", ""Cybersecurity Measures""]",High,Low,Medium,Medium,Non-Compliant,Low,"[""Industry Journals""]",[]
Pro059,Product,Product innovation labs,Law other team into marriage a. Democrat per cup car vote physical simple. Executive available hotel daughter focus sister image.,,,Technology,"[""Hardware Solutions"", ""Software Solutions""]","[""Health and Human Services"", ""Shoes Manufacturing""]","[""Eritrea"", ""Bhutan"", ""Taiwan"", ""Rwanda""]",$1000-$5000,Unavailable,"[""Certified Internal Auditor (CIA)"", ""SHRM-SCP (SHRM Senior Certified Professional)""]",1972-04-17,High,High,High,"[""Industry-Compliant"", ""AI-Integrated"", ""Customizable""]","[""MedMen Enterprises"", ""Acreage Holdings"", ""Aurora Cannabis""]",High,"[""Laboratory Equipment"", ""English""]",High,Medium,Low,Low,Non-Compliant,High,"[""Magazines"", ""Panel Discussions"", ""TikTok"", ""Search Engine Optimization (SEO)""]","[""Truth sometimes him. Out minute begin between everything investment.\nOne small girl too should stop back personal. Whole rule again today audience. Us already student nation hold international."", ""Machine gas not either step decade tonight. Might hard peace place million. Must seven rest age able information get ability.""]"
Serv062,Service,Financial services,Away true actually brother cut blood move. Drug only PM top activity develop. Green over fly like bad.,,,Recreational,"[""Adult-Use Products"", ""THC Products"", ""Event Organizing""]","[""Physicians"", ""Automotive""]","[""United Arab Emirates"", ""Saint Vincent and the Grenadines"", ""Ireland"", ""French Guiana""]",>$50000,Available,"[""Business Consultant"", ""Team Building Facilitator"", ""Crop Scientist""]",1976-03-08,Low,Medium,Low,"[""Innovative"", ""Flexible"", ""Energy Efficient""]","[""Indiva"", ""Hexo Corp""]",Medium,"[""Experience Managing Budgets up to $10,000"", ""Available within 3 Months"", ""Software Proficiency""]",Low,Medium,Low,Medium,Non-Compliant,High,"[""TikTok"", ""Television Advertising"", ""Referral Programs""]",[]
Pro063,Product,Health and wellness products,"Major economy side throw woman. Could community truth year enter agency. Somebody next other operation religious month generation culture.
Brother cost weight. Face thus glass physical first begin.",,,Cultivation,"[""Greenhouse Growing"", ""Indoor Growing""]","[""Chemical"", ""Non-Profit Organizations"", ""Computer Software""]","[""Yemen"", ""Angola"", ""Luxembourg"", ""Gibraltar"", ""Papua New Guinea"", ""El Salvador""]",$5000-$10000,Available,"[""Health Professional"", ""Business Consultant"", ""Quality Assurance Technician""]",1997-12-30,High,Medium,Medium,"[""Low Maintenance"", ""Customizable"", ""Innovative""]","[""Harvest Health & Recreation"", ""Tweed"", ""Acreage Holdings""]",Low,"[""Certifications""]",Low,High,Low,Low,Compliant,High,"[""Podcasts""]","[""Similar follow field word. Week team necessary. Child south western put have."", ""Game green police though. Soldier let response discussion middle.\nAble party reality great wide. Strategy total within hit. Mind simple Republican authority."", ""People position across main make. Raise culture they interest seven know rich. Address our green study third political.""]"
