id,type,name,slug,content,image,attachment,category,sub_categories,industry,application_deadline,duration,requirements,budgets,funding_source,location,key_contacts,Expected_outcomes,strategic_importance,market_impact,risk_level,status,engagement_levels,partners_involved,proposal_submission_process,selection_criteria,evaluation_process,contract_type,performance_indicators,contact_email,contact_phone_code,contact_phone_number,created_at,updated_at
OPR011,investment,Volunteering Opportunity - Purchase,scene-perform-fight,"Section local pull miss. Right win save even. Financial class daughter end including.
Short cultural and deep push major. Teacher seek production camera especially.",,,Consulting,Financial Consulting,Beverages - Non-Alcoholic,2024-05-11,6-12 months,"Teamwork,Minimum Years in Industry,Willingness to Travel,Data Encryption",>$50000,"Series A Funding,Convertible Debt,Strategic Partnerships","Afghanistan, Helmand","Operations Manager,VP of HR,Marketing Specialist",low,high,medium,high,pending,low,Mayo LLC,"Fax Submission,Submission via Collaborative Platform (e.g., Slack, Microsoft Teams),Email Submission,Submission through a Trade Association or Chamber of Commerce,Through a Government Submission Portal","Customer references,Technical expertise,Cost-effectiveness,Proven track record of success,Ability to meet deadlines","Request for Quotation (RFQ),Request for Proposal (RFP),Due Diligence Process,Comparative Analysis,Multi-Stage Evaluation",mixed,Increased sales revenue,philip24@example.net,93,+1-521-408-2230x77558,2024-03-06,2024-01-17
OPR012,consulting,Job Opening - Consulting,billion-player,"Citizen language society positive. Student arrive share.
Perform yeah out feeling protect real admit music. More minute day nation effect book daughter story.",,,Purchase,Software Licenses,Personal Services,2024-04-19,3-6 months,"Client Management Experience,Experience Managing Budgets Over $100,000,Specific Software Knowledge",$10000-$50000,Family Offices,"Afghanistan, Helmand","Regulatory Specialist,Finance Manager,Diversity and Inclusion Manager",low,low,high,high,closed,low,"Brooks, Cook and Cunningham",Submission through a Trade Association or Chamber of Commerce,"Relevant industry experience,Ability to meet deadlines,Risk management strategy","External Review Panel,Weighted Criteria Matrix,Risk Assessment,Vendor Demonstrations,Pilot Testing",mixed,Innovation adoption rate,fwilliams@example.net,93,+1-613-924-2874,2024-01-05,2024-03-22
OPR013,job,Sponsorship - Sponsorship,strategy-everybody,"Position democratic fund cold strategy smile democratic. Ever student child instead maintain just.
Economic type right star should other student. Woman describe degree history.",,,Employment,Full-time,Renewable Energy,2024-06-03,1-3 months,"Doctorate,Citizenship,Background Check,Leadership Skills",<1000,"Family Offices,Research Grants,Microfinance","Afghanistan, Helmand","IT Support Manager,Trademark Attorney",medium,medium,medium,high,open,medium,Huang-Ray,"Fax Submission,Form Submission on Company Website,Submission via Cloud Storage Link (e.g., Google Drive, Dropbox)","Customer references,Relevant industry experience,Quality of proposal,Strong communication skills,Sustainability initiatives","Stakeholder Consultation,Weighted Criteria Matrix,Consensus Decision Making,Request for Information (RFI)",mixed,Customer satisfaction rate,ewaters@example.net,93,6354088183,2024-06-19,2024-03-31
OPR014,partnership,Sponsorship - Employment,data-approach-two,Nation direction easy message approach word. Somebody truth coach matter purpose. Throughout cup to anyone. Focus establish number hotel though tough.,,,Purchase,Computer Equipment,Weapons,2024-05-28,>1 year,"Manual Dexterity,Quantum Computing,Bachelor's Degree,Experience Managing Multiple Projects",<1000,Internal Funding,"Afghanistan, Helmand","Energy Manager,Procurement Manager,Patent Agent",high,low,medium,high,pending,high,Christensen Inc,"Submission via a Consultancy Firm,Via Legal Counsel,Proposal Management System (e.g., Proposify, Qvidian),Online Application Portal","Quality of proposal,Innovative approach,Technical expertise,Risk management strategy","Interviews and Presentations,Risk Assessment,External Review Panel,Request for Quotation (RFQ),Site Visits",mixed,Partnership effectiveness,cynthiagonzalez@example.net,93,001-728-244-6794,2024-01-18,2024-06-04
OPR015,consulting,Sponsorship - Volunteering,usually-blood-ten,"Course out city single parent administration small. Through ever everything station start cultural.
Visit now them report. Rock interview large sea there.",,,Consulting,HR Consulting,Fossil Fuel Electric Power Generation,2024-06-29,1-3 months,"Edge Computing,French,Manual Dexterity",>$50000,"Debt Financing,Bridge Loans,Equity Financing","Afghanistan, Helmand","Field Sales Manager,Program Manager,IT Support Manager",high,high,low,low,pending,low,Wise PLC,"Online Tendering System (e.g., TenderLink),Physical Mail Submission,Proposal Management System (e.g., Proposify, Qvidian)","Cost-effectiveness,Risk management strategy,Strong communication skills,Alignment with strategic goals","Financial Review,Executive Approval,Multi-Stage Evaluation,Pilot Testing",variable,"Increased sales revenue,Cost savings achieved",betty37@example.org,93,(826)306-6507x226,2024-07-05,2024-01-06
OPR016,purchase,Strategic Partnership - Sponsorship,western-per-do,"Stay break popular must special course boy. Color forward how Republican chance view almost.
Game assume pretty. Current manager authority sing what describe focus two. Reveal foot return space all.",,,Purchase,Computer Equipment,Renewables and Environment,2024-05-19,>1 year,"Mobile Device Compatibility,Blockchain Technology,Time Management,Mandarin",$10000-$50000,"Donations,Series B Funding,Strategic Partnerships","Afghanistan, Helmand","Customer Service Manager,Marketing Manager",medium,high,medium,high,closed,high,Drake LLC,"In-Person Submission,Submission via Industry-Specific Platform (e.g., BidSync, GovWin),Electronic Document Submission (e.g., PDF)","Financial stability,Customer references,Team qualifications","Proof of Concept (PoC),Multi-Stage Evaluation,Risk Assessment",fixed,"Time to market reduction,Customer satisfaction rate",sethjones@example.net,93,578.468.7418x4828,2024-02-22,2024-06-19
OPR017,rfp,Strategic Partnership - Consulting,control-must,Degree result movie then why radio. Floor face job stay above perhaps. Edge section trouble because learn nothing difficult.,,,Consulting,Financial Consulting,Wholesale,2024-05-06,1-3 months,"Multi-Factor Authentication,Mid-Level",$10000-$50000,"Microfinance,Equity Financing,Research Grants","Afghanistan, Helmand","Distribution Manager,Compliance Manager",high,high,medium,high,closed,high,"Bradley, Burton and Payne","Submission via Collaborative Platform (e.g., Slack, Microsoft Teams),Physical Mail Submission,Submission through a Trade Association or Chamber of Commerce,Submission through a Procurement System (e.g., SAP Ariba),Direct Submission to Project Manager","Ability to meet deadlines,Innovative approach,Customer references","Due Diligence Process,Comparative Analysis,Stakeholder Consultation,Site Visits,Interviews and Presentations",variable,Resource utilization rate,bensoneric@example.net,93,646.269.1318,2024-07-09,2024-02-27
OPR018,partnership,Volunteering Opportunity - Sponsorship,dream-conference,Claim anything fact everyone. Mission either travel source research spend third. Citizen notice newspaper clear everybody safe at official.,,,Partnership,Joint Venture,Advertising,2024-06-18,1-3 months,"IoT Integration,Web Application,Continuous Integration/Continuous Deployment (CI/CD)",<1000,"Bank Loans,Non-Profit Grants","Afghanistan, Helmand","IT Support Manager,Finance Specialist",low,high,high,high,closed,high,Perez-Mercer,"Submission during a Scheduled Meeting or Presentation,Through a Government Submission Portal,Online Tendering System (e.g., TenderLink),Online Application Portal","Past performance,Financial stability,Technical expertise","Peer Review,Weighted Criteria Matrix,Risk Assessment,Vendor Demonstrations",variable,"Innovation adoption rate,Website traffic growth",peterschristopher@example.com,93,9696499497,2024-04-30,2024-04-12
OPR019,consulting,Strategic Partnership - Sponsorship,force-than-bank,"Protect cold top we watch. Interview former central close.
Watch affect table word forget deal call. Plan glass away. Phone loss believe within.",,,Volunteering,Pro-bono Consulting,Insurance - Property and Casualty,2024-05-22,1-3 months,"Software Proficiency,International Candidates,Senior-Level,High School Diploma",<1000,Corporate Sponsorships,"Afghanistan, Helmand","Account Manager,Director of Customer Service",medium,low,low,medium,pending,low,"Owens, Lawrence and Smith",Secure File Transfer Protocol (SFTP),"Risk management strategy,Past performance,Relevant industry experience,Alignment with strategic goals","Pilot Testing,Stakeholder Consultation,Customer References and Testimonials,Vendor Demonstrations",fixed,"Increased sales revenue,Compliance adherence",brettmoore@example.net,93,798.307.3442x633,2024-03-13,2024-01-30
OPR020,volunteering,Sponsorship - Consulting,cause-republican,"Fight firm decide security black parent billion board. Down career later entire standard customer. Across class under small.
Project agent drug item chair strategy image.",,,Partnership,Strategic Partnership,Nursing Homes and Residential Care Facilities,2024-07-04,>1 year,"Experience with Client Retention,Background Check,Working in Various Weather Conditions",$0,"Series C Funding,Equity Financing","Afghanistan, Helmand",Claims Adjuster,low,medium,low,high,closed,medium,"Cruz, Davenport and Finley","Online Application Portal,Via Professional Networking Site (e.g., LinkedIn),Electronic Document Submission (e.g., PDF),Physical Mail Submission","Proven track record of success,Relevant industry experience,Cost-effectiveness,Team qualifications,Strong communication skills","Executive Approval,Interviews and Presentations,Vendor Demonstrations,Scoring System",mixed,Operational efficiency improvement,mckinneybarbara@example.net,93,001-768-968-4411x14089,2024-04-13,2024-06-19
